tree,treatment,origin,culture,stressed,serie ,c1S0,c2S0,c3S0,c4S0,c5S0,c6S0,c7S0,c8S0,c1S1,c2S1,c3S1,c4S1,c5S1,c6S1,c7S1,c8S1,c1S3,c2S3,c3S3,c4S3,c5S3,c6S3,c7S3,c8S3,c1oct-dec,c2oct-dec,c3oct-dec,c4oct-dec,c5oct-dec,c6oct-dec,c7oct-dec,c8oct-dec,c1dec-mar,c2dec-mar,c3dec-mar,c4dec-mar,c5dec-mar,c6dec-mar,c7dec-mar,c8dec-mar,c1oct-mar,c2oct-mar,c3oct-mar,c4oct-mar,c5oct-mar,c6oct-mar,c7oct-mar,c8oct-mar
48,subint,sub,int,yes,original,1,1,0.9,1,1,0.7,0.8,1,1,0.8,0.7,1,1,0.7,0.8,0.9,0.3,0.3,0.9,0.1,0.2,1,0,1,1,0.8,0.777777778,1,1,1,1,0.9,0.3,0.375,1.285714286,0.1,0.2,1.428571429,0,1.111111111,0.3,0.3,1,0.1,0.2,1.428571429,0,1
49,intint,int,int,no,original,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0,0.3,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0.8,0,0.3,1,1,0.9,1,1,0.8,0,0.3,1,1,0.9
50,subint,sub,int,no,original,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,0.9,0.9,1,1,1,0.9,0.8,1,0.9,1,1,1,1,1,1,1,1,0.9,1,1,1,0.9,0.8,1,0.9,0.9,1,1,1,0.9,0.8
51,subint,sub,int,no,original,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.9,1,1,0.3,1,0.9,0.8,0,1,1,1,1,1,1,0,1,0.9,1,1,0.3,1,0.9,NA,0,0.9,1,1,0.3,1,0.9,0.8,0
52,intint,int,int,no,original,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1
53,subint,sub,int,no,original,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,0.7,1,1,1,0.9,1,0.9,1,0.9,1,1,1,1,1,1,1,0.777777778,1,1,1,0.9,1,0.9,1,0.7,1,1,1,0.9,1,0.9,1
54,intint,int,int,no,original,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1.25,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
55,intint,int,int,no,original,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,0.8,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0.1,0.8,1,1,1,0.9,1,1,0.1,0.8,1,1,1,0.9,1,1
56,subint,sub,int,no,original,1,0.8,1,1,1,1,1,0.8,0.9,0,1,1,1,1,1,0,0,1,1,0,1,1,0.7,1,0.9,0,1,1,1,1,1,0,0,NA,1,0,1,1,0.7,NA,0,1.25,1,0,1,1,0.7,1.25
57,subint,sub,int,no,original,1,1,1,1,1,1,1,1,0.9,1,0.9,1,0.9,1,1,1,1,1,1,1,0.9,1,0,0.9,0.9,1,0.9,1,0.9,1,1,1,1.111111111,1,1.111111111,1,1,1,0,0.9,1,1,1,1,0.9,1,0,0.9
58,intint,int,int,no,original,1,0.9,1,1,1,1,1,1,1,0.6,1,1,1,1,1,1,0.2,1,0.9,1,0.3,1,1,1,1,0.666666667,1,1,1,1,1,1,0.2,1.666666667,0.9,1,0.3,1,1,1,0.2,1.111111111,0.9,1,0.3,1,1,1
59,intint,int,int,no,original,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,0.9,0.8,0,1,1,1,1,1,1,1,1,1,1,1,0.9,1,0.9,0.8,0,1,1,1,0.9,1,0.9,0.8,0
60,intint,int,int,no,original,1,1,1,1,1,1,0,1,1,1,1,1,0.6,1,0,1,0.8,0.9,1,0.6,1,0,1,0.9,1,1,1,1,0.6,1,NA,1,0.8,0.9,1,0.6,1.666666667,0,NA,0.9,0.8,0.9,1,0.6,1,0,NA,0.9
